Assembly;TP;FP;FN;Precision;Sensitivity;F1;Method;Tool;Dataset;Evaluator
TALON_reco;90;37;29;0.708661417322835;0.756302521008403;0.731707317073171;Guided;TALON;LSK114_sequins;SQANTI3
Bambu;139;37;2;0.789772727272727;0.985815602836879;0.876971608832808;Guided;Bambu;LSK114_SIRVs;SQANTI3
Bambu-noRef;22;10;119;0.6875;0.156028368794326;0.254335260115607;De novo;Bambu;LSK114_SIRVs;SQANTI3
Control;57;34510;84;0.00164897156247288;0.404255319148936;0.00328454534977527;RawReads;RawReads;LSK114_SIRVs;SQANTI3
FLAIR;61;12;80;0.835616438356164;0.432624113475177;0.570093457943925;Guided;FLAIR;LSK114_SIRVs;SQANTI3
FLAIR-noRef;94;166;47;0.361538461538462;0.666666666666667;0.468827930174564;De novo;FLAIR;LSK114_SIRVs;SQANTI3
FLAMES;53;0;88;1;0.375886524822695;0.54639175257732;Guided;FLAMES;LSK114_SIRVs;SQANTI3
isONclust2;83;14;58;0.855670103092783;0.588652482269504;0.697478991596639;Ab initio;isONclust2;LSK114_SIRVs;SQANTI3
isONclust;90;31;51;0.743801652892562;0.638297872340426;0.687022900763359;Ab initio;isONclust;LSK114_SIRVs;SQANTI3
isoQuant;31;7;110;0.815789473684211;0.219858156028369;0.346368715083799;Guided;isoQuant;LSK114_SIRVs;SQANTI3
isoQuant-noRef;31;7;110;0.815789473684211;0.219858156028369;0.346368715083799;De novo;isoQuant;LSK114_SIRVs;SQANTI3
Mandalorion;112;7;29;0.941176470588235;0.794326241134752;0.861538461538461;Guided;Mandalorion;LSK114_SIRVs;SQANTI3
RATTLE;74;23;67;0.762886597938144;0.524822695035461;0.621848739495798;Ab initio;RATTLE;LSK114_SIRVs;SQANTI3
RNAbloom2;108;35;33;0.755244755244755;0.765957446808511;0.76056338028169;Ab initio;RNAbloom2;LSK114_SIRVs;SQANTI3
RNAbloom;104;28;37;0.787878787878788;0.737588652482269;0.761904761904762;Ab initio;RNAbloom;LSK114_SIRVs;SQANTI3
Stringtie2;125;6;16;0.954198473282443;0.886524822695035;0.919117647058823;Guided;Stringtie2;LSK114_SIRVs;SQANTI3
Stringtie2-noRef;27;101;114;0.2109375;0.191489361702128;0.200743494423792;De novo;Stringtie2;LSK114_SIRVs;SQANTI3
Bambu;119;41;0;0.74375;1;0.853046594982079;Guided;Bambu;LSK114_sequins;Average
Bambu-noRef;68;12.5;47;0.84472049689441;0.591304347826087;0.695652173913044;De novo;Bambu;LSK114_sequins;Average
Control;99.5;9944.5;17.5;0.00990641178813222;0.85042735042735;0.0195846865465997;RawReads;RawReads;LSK114_sequins;Average
FLAIR;82;30.5;36;0.728888888888889;0.694915254237288;0.711496746203905;Guided;FLAIR;LSK114_sequins;Average
FLAIR-noRef;64.5;322;44;0.166882276843467;0.594470046082949;0.260606060606061;De novo;FLAIR;LSK114_sequins;Average
FLAMES;48;0;71;1;0.403361344537815;0.574850299401198;Guided;FLAMES;LSK114_sequins;Average
isONclust2;55;19;58;0.743243243243243;0.486725663716814;0.588235294117647;Ab initio;isONclust2;LSK114_sequins;Average
isONclust;70.5;33;40.5;0.681159420289855;0.635135135135135;0.657342657342657;Ab initio;isONclust;LSK114_sequins;Average
isoQuant;98;5;21;0.951456310679612;0.823529411764706;0.882882882882883;Guided;isoQuant;LSK114_sequins;Average
isoQuant-noRef;59;7.5;58.5;0.887218045112782;0.502127659574468;0.641304347826087;De novo;isoQuant;LSK114_sequins;Average
Mandalorion;74.5;10.5;44;0.876470588235294;0.628691983122363;0.732186732186732;Guided;Mandalorion;LSK114_sequins;Average
RATTLE;47;29;63.5;0.618421052631579;0.425339366515837;0.50402144772118;Ab initio;RATTLE;LSK114_sequins;Average
RNAbloom2;80;48.5;33.5;0.622568093385214;0.704845814977974;0.661157024793388;Ab initio;RNAbloom2;LSK114_sequins;Average
RNAbloom;76.5;48.5;34;0.612;0.692307692307692;0.64968152866242;Ab initio;RNAbloom;LSK114_sequins;Average
Stringtie2;97.5;14;21;0.874439461883408;0.822784810126582;0.847826086956522;Guided;Stringtie2;LSK114_sequins;Average
Stringtie2-noRef;78;28;35.5;0.735849056603774;0.687224669603524;0.710706150341686;De novo;Stringtie2;LSK114_sequins;Average
TALON;89.5;88;28.5;0.504225352112676;0.758474576271186;0.60575296108291;Guided;TALON;LSK114_sequins;Average
TALON_reco;90.5;37;28.5;0.709803921568627;0.760504201680672;0.734279918864097;Guided;TALON;LSK114_sequins;Average
Bambu;140;36;1;0.795454545454545;0.99290780141844;0.883280757097792;Guided;Bambu;LSK114_SIRVs;Average
Bambu-noRef;22.5;10;114.5;0.692307692307692;0.164233576642336;0.265486725663717;De novo;Bambu;LSK114_SIRVs;Average
Control;96.5;18317;44;0.0052407201238222;0.686832740213523;0.0104020696345801;RawReads;RawReads;LSK114_SIRVs;Average
FLAIR;61;12;77;0.835616438356164;0.442028985507246;0.578199052132702;Guided;FLAIR;LSK114_SIRVs;Average
FLAIR-noRef;96.5;163;35.5;0.371868978805395;0.731060606060606;0.492975734355045;De novo;FLAIR;LSK114_SIRVs;Average
FLAMES;53;0;88;1;0.375886524822695;0.54639175257732;Guided;FLAMES;LSK114_SIRVs;Average
isONclust2;83.5;12;54;0.87434554973822;0.607272727272727;0.716738197424893;Ab initio;isONclust2;LSK114_SIRVs;Average
isONclust;92;23;45.5;0.8;0.669090909090909;0.728712871287129;Ab initio;isONclust;LSK114_SIRVs;Average
isoQuant;31;7;107;0.815789473684211;0.22463768115942;0.352272727272727;Guided;isoQuant;LSK114_SIRVs;Average
isoQuant-noRef;31;7;107;0.815789473684211;0.22463768115942;0.352272727272727;De novo;isoQuant;LSK114_SIRVs;Average
Mandalorion;112;6;29;0.949152542372881;0.794326241134752;0.864864864864865;Guided;Mandalorion;LSK114_SIRVs;Average
RATTLE;70.5;24;63;0.746031746031746;0.528089887640449;0.618421052631579;Ab initio;RATTLE;LSK114_SIRVs;Average
RNAbloom2;103;38.5;31;0.72791519434629;0.76865671641791;0.747731397459165;Ab initio;RNAbloom2;LSK114_SIRVs;Average
RNAbloom;99.5;30;33;0.768339768339768;0.750943396226415;0.759541984732825;Ab initio;RNAbloom;LSK114_SIRVs;Average
Stringtie2;125;6;16;0.954198473282443;0.886524822695035;0.919117647058823;Guided;Stringtie2;LSK114_SIRVs;Average
Stringtie2-noRef;59.5;66;73.5;0.474103585657371;0.447368421052632;0.460348162475822;De novo;Stringtie2;LSK114_SIRVs;Average
TALON;128;108;7;0.542372881355932;0.948148148148148;0.690026954177898;Guided;TALON;LSK114_SIRVs;Average
TALON_reco;124;65;9;0.656084656084656;0.932330827067669;0.770186335403727;Guided;TALON;LSK114_SIRVs;Average
