Assembly;TP;FP;FN;Precision;Sensitivity;F1;Method;Tool;Dataset;Evaluator
RATTLE;56;41;58;0.577319587628866;0.491228070175439;0.530805687203791;Ab initio;RATTLE;LSK109_sequins;GFFcompare
RNAbloom2;97;197;26;0.329931972789116;0.788617886178862;0.465227817745803;Ab initio;RNAbloom2;LSK109_sequins;GFFcompare
RNAbloom;96;190;25;0.335664335664336;0.793388429752066;0.471744471744472;Ab initio;RNAbloom;LSK109_sequins;GFFcompare
Stringtie2;112;17;20;0.868217054263566;0.848484848484849;0.85823754789272;Guided;Stringtie2;LSK109_sequins;GFFcompare
Stringtie2-noRef;88;46;28;0.656716417910448;0.758620689655172;0.704;De novo;Stringtie2;LSK109_sequins;GFFcompare
TALON;108;523;24;0.171156893819334;0.818181818181818;0.283093053735256;Guided;TALON;LSK109_sequins;GFFcompare
TALON_reco;105;180;28;0.368421052631579;0.789473684210526;0.502392344497608;Guided;TALON;LSK109_sequins;GFFcompare
Bambu;136;26;0;0.839506172839506;1;0.912751677852349;Guided;Bambu;RNA002_sequins;GFFcompare
Bambu-noRef;65;33;64;0.663265306122449;0.503875968992248;0.572687224669604;De novo;Bambu;RNA002_sequins;GFFcompare
Control;122;24634;8;0.00492809823881079;0.938461538461538;0.00980470947520694;RawReads;RawReads;RNA002_sequins;GFFcompare
FLAIR;100;29;33;0.775193798449612;0.75187969924812;0.763358778625954;Guided;FLAIR;RNA002_sequins;GFFcompare
FLAIR-noRef;80;1372;30;0.0550964187327824;0.727272727272727;0.102432778489117;De novo;FLAIR;RNA002_sequins;GFFcompare
FLAMES;57;0;79;1;0.419117647058824;0.590673575129534;Guided;FLAMES;RNA002_sequins;GFFcompare
isONclust2;71;38;38;0.651376146788991;0.651376146788991;0.651376146788991;Ab initio;isONclust2;RNA002_sequins;GFFcompare
isONclust;102;153;16;0.4;0.864406779661017;0.546916890080429;Ab initio;isONclust;RNA002_sequins;GFFcompare
isoQuant;116;3;20;0.974789915966387;0.852941176470588;0.909803921568627;Guided;isoQuant;RNA002_sequins;GFFcompare
isoQuant-noRef;68;11;61;0.860759493670886;0.527131782945736;0.653846153846154;De novo;isoQuant;RNA002_sequins;GFFcompare
Mandalorion;72;53;56;0.576;0.5625;0.569169960474308;Guided;Mandalorion;RNA002_sequins;GFFcompare
RATTLE;71;57;55;0.5546875;0.563492063492063;0.559055118110236;Ab initio;RATTLE;RNA002_sequins;GFFcompare
RNAbloom2;98;525;33;0.157303370786517;0.748091603053435;0.259946949602122;Ab initio;RNAbloom2;RNA002_sequins;GFFcompare
RNAbloom;104;498;24;0.172757475083056;0.8125;0.284931506849315;Ab initio;RNAbloom;RNA002_sequins;GFFcompare
Stringtie2;109;24;22;0.819548872180451;0.83206106870229;0.825757575757576;Guided;Stringtie2;RNA002_sequins;GFFcompare
Stringtie2-noRef;77;84;31;0.478260869565217;0.712962962962963;0.572490706319703;De novo;Stringtie2;RNA002_sequins;GFFcompare
TALON;101;356;35;0.221006564551422;0.742647058823529;0.340640809443508;Guided;TALON;RNA002_sequins;GFFcompare
TALON_reco;95;129;40;0.424107142857143;0.703703703703704;0.52924791086351;Guided;TALON;RNA002_sequins;GFFcompare
Bambu;136;29;0;0.824242424242424;1;0.903654485049834;Guided;Bambu;RNA004_sequins;GFFcompare
Bambu-noRef;77;32;50;0.706422018348624;0.606299212598425;0.652542372881356;De novo;Bambu;RNA004_sequins;GFFcompare
Control;122;35469;7;0.00342783287909865;0.945736434108527;0.00683090705487122;RawReads;RawReads;RNA004_sequins;GFFcompare
FLAIR;98;30;36;0.765625;0.73134328358209;0.748091603053435;Guided;FLAIR;RNA004_sequins;GFFcompare
FLAIR-noRef;73;1277;33;0.0540740740740741;0.688679245283019;0.100274725274725;De novo;FLAIR;RNA004_sequins;GFFcompare
FLAMES;63;0;73;1;0.463235294117647;0.633165829145729;Guided;FLAMES;RNA004_sequins;GFFcompare
isONclust2;69;54;31;0.560975609756098;0.69;0.618834080717489;Ab initio;isONclust2;RNA004_sequins;GFFcompare
isONclust;86;150;22;0.364406779661017;0.796296296296296;0.5;Ab initio;isONclust;RNA004_sequins;GFFcompare
isoQuant;119;3;17;0.975409836065574;0.875;0.922480620155039;Guided;isoQuant;RNA004_sequins;GFFcompare
isoQuant-noRef;76;8;56;0.904761904761905;0.575757575757576;0.703703703703704;De novo;isoQuant;RNA004_sequins;GFFcompare
Mandalorion;89;18;45;0.831775700934579;0.664179104477612;0.738589211618257;Guided;Mandalorion;RNA004_sequins;GFFcompare
RATTLE;54;59;49;0.47787610619469;0.524271844660194;0.5;Ab initio;RATTLE;RNA004_sequins;GFFcompare
RNAbloom2;87;191;32;0.31294964028777;0.73109243697479;0.438287153652393;Ab initio;RNAbloom2;RNA004_sequins;GFFcompare
RNAbloom;85;163;32;0.342741935483871;0.726495726495726;0.465753424657534;Ab initio;RNAbloom;RNA004_sequins;GFFcompare
Stringtie2;112;29;19;0.794326241134752;0.854961832061069;0.823529411764706;Guided;Stringtie2;RNA004_sequins;GFFcompare
Stringtie2-noRef;86;56;29;0.605633802816901;0.747826086956522;0.669260700389105;De novo;Stringtie2;RNA004_sequins;GFFcompare
TALON;104;397;32;0.207584830339321;0.764705882352941;0.326530612244898;Guided;TALON;RNA004_sequins;GFFcompare
TALON_reco;99;134;37;0.424892703862661;0.727941176470588;0.536585365853659;Guided;TALON;RNA004_sequins;GFFcompare
Bambu;136;28;0;0.829268292682927;1;0.906666666666667;Guided;Bambu;LSK114_sequins;SQANTI3
Bambu-noRef;76;32;60;0.703703703703704;0.558823529411765;0.622950819672131;De novo;Bambu;LSK114_sequins;SQANTI3
Control;102;57582;34;0.00176825462866653;0.75;0.00352819093739191;RawReads;RawReads;LSK114_sequins;SQANTI3
FLAIR;95;54;41;0.63758389261745;0.698529411764706;0.666666666666667;Guided;FLAIR;LSK114_sequins;SQANTI3
FLAIR-noRef;79;953;57;0.0765503875968992;0.580882352941177;0.13527397260274;De novo;FLAIR;LSK114_sequins;SQANTI3
FLAMES;69;0;67;1;0.507352941176471;0.673170731707317;Guided;FLAMES;LSK114_sequins;SQANTI3
isONclust2;68;26;68;0.723404255319149;0.5;0.591304347826087;Ab initio;isONclust2;LSK114_sequins;SQANTI3
isONclust;85;88;51;0.491329479768786;0.625;0.550161812297735;Ab initio;isONclust;LSK114_sequins;SQANTI3
isoQuant;111;7;25;0.940677966101695;0.816176470588235;0.874015748031496;Guided;isoQuant;LSK114_sequins;SQANTI3
isoQuant-noRef;73;13;63;0.848837209302326;0.536764705882353;0.657657657657658;De novo;isoQuant;LSK114_sequins;SQANTI3
Mandalorion;98;15;38;0.867256637168142;0.720588235294118;0.78714859437751;Guided;Mandalorion;LSK114_sequins;SQANTI3
RATTLE;72;55;64;0.566929133858268;0.529411764705882;0.547528517110266;Ab initio;RATTLE;LSK114_sequins;SQANTI3
RNAbloom2;96;186;40;0.340425531914894;0.705882352941177;0.45933014354067;Ab initio;RNAbloom2;LSK114_sequins;SQANTI3
RNAbloom;98;146;38;0.401639344262295;0.720588235294118;0.51578947368421;Ab initio;RNAbloom;LSK114_sequins;SQANTI3
Stringtie2;109;11;27;0.908333333333333;0.801470588235294;0.8515625;Guided;Stringtie2;LSK114_sequins;SQANTI3
Stringtie2-noRef;87;37;49;0.701612903225806;0.639705882352941;0.669230769230769;De novo;Stringtie2;LSK114_sequins;SQANTI3
TALON;102;279;34;0.267716535433071;0.75;0.39458413926499;Guided;TALON;LSK114_sequins;SQANTI3
TALON_reco;101;102;35;0.497536945812808;0.742647058823529;0.595870206489676;Guided;TALON;LSK114_sequins;SQANTI3
Bambu;136;29;0;0.824242424242424;1;0.903654485049834;Guided;Bambu;LSK109_sequins;SQANTI3
Bambu-noRef;75;29;61;0.721153846153846;0.551470588235294;0.625;De novo;Bambu;LSK109_sequins;SQANTI3
Control;107;58297;29;0.00183206629682898;0.786764705882353;0.00365562008882815;RawReads;RawReads;LSK109_sequins;SQANTI3
FLAIR;98;49;38;0.666666666666667;0.720588235294118;0.692579505300353;Guided;FLAIR;LSK109_sequins;SQANTI3
FLAIR-noRef;83;1478;53;0.0531710442024343;0.610294117647059;0.0978196817913966;De novo;FLAIR;LSK109_sequins;SQANTI3
FLAMES;69;0;67;1;0.507352941176471;0.673170731707317;Guided;FLAMES;LSK109_sequins;SQANTI3
isONclust2;71;35;65;0.669811320754717;0.522058823529412;0.586776859504132;Ab initio;isONclust2;LSK109_sequins;SQANTI3
isONclust;79;80;57;0.49685534591195;0.580882352941177;0.535593220338983;Ab initio;isONclust;LSK109_sequins;SQANTI3
isoQuant;121;7;15;0.9453125;0.889705882352941;0.916666666666667;Guided;isoQuant;LSK109_sequins;SQANTI3
isoQuant-noRef;74;14;62;0.840909090909091;0.544117647058823;0.660714285714286;De novo;isoQuant;LSK109_sequins;SQANTI3
Mandalorion;76;15;60;0.835164835164835;0.558823529411765;0.669603524229075;Guided;Mandalorion;LSK109_sequins;SQANTI3
RATTLE;75;53;61;0.5859375;0.551470588235294;0.568181818181818;Ab initio;RATTLE;LSK109_sequins;SQANTI3
RNAbloom2;104;200;32;0.342105263157895;0.764705882352941;0.472727272727273;Ab initio;RNAbloom2;LSK109_sequins;SQANTI3
RNAbloom;108;222;28;0.327272727272727;0.794117647058823;0.463519313304721;Ab initio;RNAbloom;LSK109_sequins;SQANTI3
Stringtie2;113;15;23;0.8828125;0.830882352941177;0.856060606060606;Guided;Stringtie2;LSK109_sequins;SQANTI3
Stringtie2-noRef;81;50;55;0.618320610687023;0.595588235294118;0.606741573033708;De novo;Stringtie2;LSK109_sequins;SQANTI3
TALON;108;512;28;0.174193548387097;0.794117647058823;0.285714285714286;Guided;TALON;LSK109_sequins;SQANTI3
TALON_reco;104;176;32;0.371428571428571;0.764705882352941;0.5;Guided;TALON;LSK109_sequins;SQANTI3
Bambu;136;26;0;0.839506172839506;1;0.912751677852349;Guided;Bambu;RNA002_sequins;SQANTI3
Bambu-noRef;66;31;70;0.680412371134021;0.485294117647059;0.566523605150214;De novo;Bambu;RNA002_sequins;SQANTI3
Control;110;66499;26;0.00165142848564008;0.808823529411765;0.00329612705071541;RawReads;RawReads;RNA002_sequins;SQANTI3
FLAIR;100;30;36;0.769230769230769;0.735294117647059;0.75187969924812;Guided;FLAIR;RNA002_sequins;SQANTI3
FLAIR-noRef;81;1338;55;0.0570824524312896;0.595588235294118;0.104180064308682;De novo;FLAIR;RNA002_sequins;SQANTI3
FLAMES;57;0;79;1;0.419117647058824;0.590673575129534;Guided;FLAMES;RNA002_sequins;SQANTI3
isONclust2;74;41;62;0.643478260869565;0.544117647058823;0.589641434262948;Ab initio;isONclust2;RNA002_sequins;SQANTI3
isONclust;107;166;29;0.391941391941392;0.786764705882353;0.523227383863081;Ab initio;isONclust;RNA002_sequins;SQANTI3
isoQuant;116;2;20;0.983050847457627;0.852941176470588;0.913385826771654;Guided;isoQuant;RNA002_sequins;SQANTI3
isoQuant-noRef;68;11;68;0.860759493670886;0.5;0.632558139534884;De novo;isoQuant;RNA002_sequins;SQANTI3
Mandalorion;72;56;64;0.5625;0.529411764705882;0.545454545454546;Guided;Mandalorion;RNA002_sequins;SQANTI3
RATTLE;71;51;65;0.581967213114754;0.522058823529412;0.550387596899225;Ab initio;RATTLE;RNA002_sequins;SQANTI3
RNAbloom2;102;493;34;0.171428571428571;0.75;0.27906976744186;Ab initio;RNAbloom2;RNA002_sequins;SQANTI3
RNAbloom;106;495;30;0.176372712146423;0.779411764705882;0.287652645861601;Ab initio;RNAbloom;RNA002_sequins;SQANTI3
Stringtie2;108;24;28;0.818181818181818;0.794117647058823;0.805970149253731;Guided;Stringtie2;RNA002_sequins;SQANTI3
Stringtie2-noRef;74;85;62;0.465408805031447;0.544117647058823;0.501694915254237;De novo;Stringtie2;RNA002_sequins;SQANTI3
TALON;101;348;35;0.224944320712695;0.742647058823529;0.345299145299145;Guided;TALON;RNA002_sequins;SQANTI3
TALON_reco;96;124;40;0.436363636363636;0.705882352941177;0.539325842696629;Guided;TALON;RNA002_sequins;SQANTI3
Bambu;136;29;0;0.824242424242424;1;0.903654485049834;Guided;Bambu;RNA004_sequins;SQANTI3
Bambu-noRef;74;28;62;0.725490196078431;0.544117647058823;0.621848739495798;De novo;Bambu;RNA004_sequins;SQANTI3
Control;110;81217;26;0.0013525643390264;0.808823529411765;0.00270061254802794;RawReads;RawReads;RNA004_sequins;SQANTI3
FLAIR;98;30;38;0.765625;0.720588235294118;0.742424242424242;Guided;FLAIR;RNA004_sequins;SQANTI3
FLAIR-noRef;80;1216;56;0.0617283950617284;0.588235294117647;0.111731843575419;De novo;FLAIR;RNA004_sequins;SQANTI3
FLAMES;63;0;73;1;0.463235294117647;0.633165829145729;Guided;FLAMES;RNA004_sequins;SQANTI3
isONclust2;83;34;53;0.709401709401709;0.610294117647059;0.656126482213439;Ab initio;isONclust2;RNA004_sequins;SQANTI3
isONclust;97;129;39;0.429203539823009;0.713235294117647;0.535911602209945;Ab initio;isONclust;RNA004_sequins;SQANTI3
isoQuant;119;3;17;0.975409836065574;0.875;0.922480620155039;Guided;isoQuant;RNA004_sequins;SQANTI3
isoQuant-noRef;76;8;60;0.904761904761905;0.558823529411765;0.690909090909091;De novo;isoQuant;RNA004_sequins;SQANTI3
Mandalorion;88;22;48;0.8;0.647058823529412;0.715447154471545;Guided;Mandalorion;RNA004_sequins;SQANTI3
RATTLE;61;48;75;0.559633027522936;0.448529411764706;0.497959183673469;Ab initio;RATTLE;RNA004_sequins;SQANTI3
RNAbloom2;96;163;40;0.370656370656371;0.705882352941177;0.486075949367089;Ab initio;RNAbloom2;RNA004_sequins;SQANTI3
RNAbloom;102;134;34;0.432203389830508;0.75;0.548387096774194;Ab initio;RNAbloom;RNA004_sequins;SQANTI3
Stringtie2;111;28;25;0.798561151079137;0.816176470588235;0.807272727272727;Guided;Stringtie2;RNA004_sequins;SQANTI3
Stringtie2-noRef;81;60;55;0.574468085106383;0.595588235294118;0.584837545126354;De novo;Stringtie2;RNA004_sequins;SQANTI3
TALON;104;397;32;0.207584830339321;0.764705882352941;0.326530612244898;Guided;TALON;RNA004_sequins;SQANTI3
TALON_reco;99;133;37;0.426724137931034;0.727941176470588;0.53804347826087;Guided;TALON;RNA004_sequins;SQANTI3
Bambu;136;28;0;0.829268292682927;1;0.906666666666667;Guided;Bambu;LSK114_sequins;Average
Bambu-noRef;76;33;53.5;0.697247706422018;0.586872586872587;0.637316561844864;De novo;Bambu;LSK114_sequins;Average
Control;107.5;37328.5;27.5;0.0028715674751576;0.796296296296296;0.00572249873572702;RawReads;RawReads;LSK114_sequins;Average
FLAIR;95;54;40;0.63758389261745;0.703703703703704;0.669014084507042;Guided;FLAIR;LSK114_sequins;Average
FLAIR-noRef;78;975.5;45.5;0.0740389178927385;0.631578947368421;0.132540356839422;De novo;FLAIR;LSK114_sequins;Average
FLAMES;69;0;67;1;0.507352941176471;0.673170731707317;Guided;FLAMES;LSK114_sequins;Average
isONclust2;60.5;24.5;66.5;0.711764705882353;0.476377952755905;0.570754716981132;Ab initio;isONclust2;LSK114_sequins;Average
isONclust;75.5;66;50.5;0.53356890459364;0.599206349206349;0.564485981308411;Ab initio;isONclust;LSK114_sequins;Average
isoQuant;111;7.5;25;0.936708860759494;0.816176470588235;0.872298624754421;Guided;isoQuant;LSK114_sequins;Average
isoQuant-noRef;72.5;14.5;57;0.833333333333333;0.55984555984556;0.669745958429561;De novo;isoQuant;LSK114_sequins;Average
Mandalorion;98;13.5;38;0.878923766816143;0.720588235294118;0.791919191919192;Guided;Mandalorion;LSK114_sequins;Average
RATTLE;63.5;49.5;62;0.561946902654867;0.50597609561753;0.532494758909853;Ab initio;RATTLE;LSK114_sequins;Average
RNAbloom2;91;167;37;0.352713178294574;0.7109375;0.471502590673575;Ab initio;RNAbloom2;LSK114_sequins;Average
RNAbloom;90.5;131;35.5;0.408577878103837;0.718253968253968;0.520863309352518;Ab initio;RNAbloom;LSK114_sequins;Average
Stringtie2;109.5;11;26;0.908713692946058;0.808118081180812;0.85546875;Guided;Stringtie2;LSK114_sequins;Average
Stringtie2-noRef;90.5;35.5;39.5;0.718253968253968;0.696153846153846;0.70703125;De novo;Stringtie2;LSK114_sequins;Average
TALON;102;279;32;0.267716535433071;0.761194029850746;0.396116504854369;Guided;TALON;LSK114_sequins;Average
TALON_reco;101;103;33.5;0.495098039215686;0.75092936802974;0.596750369276219;Guided;TALON;LSK114_sequins;Average
Bambu;136;29;0;0.824242424242424;1;0.903654485049834;Guided;Bambu;LSK109_sequins;Average
Bambu-noRef;75;30;55.5;0.714285714285714;0.574712643678161;0.636942675159236;De novo;Bambu;LSK109_sequins;Average
Control;112;45571.5;21;0.00245165103374304;0.842105263157895;0.00488906834873899;RawReads;RawReads;LSK109_sequins;Average
FLAIR;98;49;36.5;0.666666666666667;0.728624535315985;0.696269982238011;Guided;FLAIR;LSK109_sequins;Average
FLAIR-noRef;80.5;1522;41;0.0502340093603744;0.662551440329218;0.0933874709976798;De novo;FLAIR;LSK109_sequins;Average
FLAMES;69;0;67;1;0.507352941176471;0.673170731707317;Guided;FLAMES;LSK109_sequins;Average
isONclust2;63;32.5;61.5;0.659685863874346;0.506024096385542;0.572727272727273;Ab initio;isONclust2;LSK109_sequins;Average
isONclust;73.5;64.5;52;0.532608695652174;0.585657370517928;0.557874762808349;Ab initio;isONclust;LSK109_sequins;Average
isoQuant;121;7;15;0.9453125;0.889705882352941;0.916666666666667;Guided;isoQuant;LSK109_sequins;Average
isoQuant-noRef;74;14;56.5;0.840909090909091;0.567049808429119;0.677345537757437;De novo;isoQuant;LSK109_sequins;Average
Mandalorion;77;14.5;57.5;0.841530054644809;0.572490706319703;0.68141592920354;Guided;Mandalorion;LSK109_sequins;Average
RATTLE;65.5;47;59.5;0.582222222222222;0.524;0.551578947368421;Ab initio;RATTLE;LSK109_sequins;Average
RNAbloom2;100.5;198.5;29;0.336120401337793;0.776061776061776;0.469078179696616;Ab initio;RNAbloom2;LSK109_sequins;Average
RNAbloom;102;206;26.5;0.331168831168831;0.793774319066148;0.467353951890034;Ab initio;RNAbloom;LSK109_sequins;Average
Stringtie2;112.5;16;21.5;0.875486381322957;0.83955223880597;0.857142857142857;Guided;Stringtie2;LSK109_sequins;Average
Stringtie2-noRef;84.5;48;41.5;0.637735849056604;0.670634920634921;0.653771760154739;De novo;Stringtie2;LSK109_sequins;Average
TALON;108;517.5;26;0.172661870503597;0.805970149253731;0.28439763001975;Guided;TALON;LSK109_sequins;Average
TALON_reco;104.5;178;30;0.369911504424779;0.776951672862453;0.501199040767386;Guided;TALON;LSK109_sequins;Average
Bambu;136;26;0;0.839506172839506;1;0.912751677852349;Guided;Bambu;RNA002_sequins;Average
Bambu-noRef;65.5;32;67;0.671794871794872;0.494339622641509;0.569565217391304;De novo;Bambu;RNA002_sequins;Average
Control;116;45566.5;17;0.00253926558310075;0.87218045112782;0.00506378845587192;RawReads;RawReads;RNA002_sequins;Average
FLAIR;100;29.5;34.5;0.772200772200772;0.743494423791822;0.757575757575758;Guided;FLAIR;RNA002_sequins;Average
FLAIR-noRef;80.5;1355;42.5;0.056078021595263;0.654471544715447;0.103304459416105;De novo;FLAIR;RNA002_sequins;Average
FLAMES;57;0;79;1;0.419117647058824;0.590673575129534;Guided;FLAMES;RNA002_sequins;Average
isONclust2;72.5;39.5;50;0.647321428571429;0.591836734693878;0.618336886993603;Ab initio;isONclust2;RNA002_sequins;Average
isONclust;104.5;159.5;22.5;0.395833333333333;0.822834645669291;0.534526854219949;Ab initio;isONclust;RNA002_sequins;Average
isoQuant;116;2.5;20;0.978902953586498;0.852941176470588;0.911591355599214;Guided;isoQuant;RNA002_sequins;Average
isoQuant-noRef;68;11;64.5;0.860759493670886;0.513207547169811;0.643026004728132;De novo;isoQuant;RNA002_sequins;Average
Mandalorion;72;54.5;60;0.569169960474308;0.545454545454545;0.55705996131528;Guided;Mandalorion;RNA002_sequins;Average
RATTLE;71;54;60;0.568;0.541984732824427;0.5546875;Ab initio;RATTLE;RNA002_sequins;Average
RNAbloom2;100;509;33.5;0.164203612479475;0.749063670411985;0.269360269360269;Ab initio;RNAbloom2;RNA002_sequins;Average
RNAbloom;105;496.5;27;0.174563591022444;0.795454545454545;0.286298568507157;Ab initio;RNAbloom;RNA002_sequins;Average
Stringtie2;108.5;24;25;0.818867924528302;0.812734082397004;0.815789473684211;Guided;Stringtie2;RNA002_sequins;Average
Stringtie2-noRef;75.5;84.5;46.5;0.471875;0.618852459016393;0.535460992907801;De novo;Stringtie2;RNA002_sequins;Average
TALON;101;352;35;0.222958057395143;0.742647058823529;0.34295415959253;Guided;TALON;RNA002_sequins;Average
TALON_reco;95.5;126.5;40;0.43018018018018;0.70479704797048;0.534265734265734;Guided;TALON;RNA002_sequins;Average
Bambu;136;29;0;0.824242424242424;1;0.903654485049834;Guided;Bambu;RNA004_sequins;Average
Bambu-noRef;75.5;30;56;0.71563981042654;0.574144486692015;0.637130801687764;De novo;Bambu;RNA004_sequins;Average
Control;116;58343;16.5;0.00198429668656665;0.875471698113208;0.00395961871602536;RawReads;RawReads;RNA004_sequins;Average
FLAIR;98;30;37;0.765625;0.725925925925926;0.745247148288973;Guided;FLAIR;RNA004_sequins;Average
FLAIR-noRef;76.5;1246.5;44.5;0.0578231292517007;0.632231404958678;0.10595567867036;De novo;FLAIR;RNA004_sequins;Average
FLAMES;63;0;73;1;0.463235294117647;0.633165829145729;Guided;FLAMES;RNA004_sequins;Average
isONclust2;76;44;42;0.633333333333333;0.644067796610169;0.638655462184874;Ab initio;isONclust2;RNA004_sequins;Average
isONclust;91.5;139.5;30.5;0.396103896103896;0.75;0.518413597733711;Ab initio;isONclust;RNA004_sequins;Average
isoQuant;119;3;17;0.975409836065574;0.875;0.922480620155039;Guided;isoQuant;RNA004_sequins;Average
isoQuant-noRef;76;8;58;0.904761904761905;0.567164179104478;0.697247706422018;De novo;isoQuant;RNA004_sequins;Average
Mandalorion;88.5;20;46.5;0.815668202764977;0.655555555555556;0.726899383983573;Guided;Mandalorion;RNA004_sequins;Average
RATTLE;57.5;53.5;62;0.518018018018018;0.481171548117155;0.498915401301518;Ab initio;RATTLE;RNA004_sequins;Average
RNAbloom2;91.5;177;36;0.340782122905028;0.717647058823529;0.462121212121212;Ab initio;RNAbloom2;RNA004_sequins;Average
RNAbloom;93.5;148.5;33;0.386363636363636;0.739130434782609;0.507462686567164;Ab initio;RNAbloom;RNA004_sequins;Average
Stringtie2;111.5;28.5;22;0.796428571428571;0.835205992509363;0.815356489945156;Guided;Stringtie2;RNA004_sequins;Average
Stringtie2-noRef;83.5;58;42;0.590106007067138;0.665338645418327;0.625468164794007;De novo;Stringtie2;RNA004_sequins;Average
TALON;104;397;32;0.207584830339321;0.764705882352941;0.326530612244898;Guided;TALON;RNA004_sequins;Average
TALON_reco;99;133.5;37;0.424892703862661;0.727941176470588;0.536585365853659;Guided;TALON;RNA004_sequins;Average
