Subset;Assembly;TP;FP;FN;Method;Tool
Sub500k;Stringtie2;123;19;28;Guided;Stringtie2
Sub500k;Stringtie2-noRef;96;61;55;De novo;Stringtie2
Sub50k;Bambu;121;40;0;Guided;Bambu
Sub50k;Bambu-noRef;72;14;49;De novo;Bambu
Sub50k;Control;95;19177;26;RawReads;RawReads
Sub50k;isONclust;72;62;49;Ab initio;isONclust
Sub50k;isONclust2;59;27;62;Ab initio;isONclust2
Sub50k;isoQuant;102;7;19;Guided;isoQuant
Sub50k;isoQuant-noRef;59;12;62;De novo;isoQuant
Sub50k;Stringtie2;100;13;21;Guided;Stringtie2
Sub50k;Stringtie2-noRef;76;33;45;De novo;Stringtie2
